x,y
321.429,181.319
2070.055,183.477
3474.686,182.692
3995.879,183.477
4123.168,180.861
4511.905,183.15
4523.81,182.234
5798.626,181.593
5846.154,182.692
6222.527,181.319
133.025,243.387
336.538,184.066
528.846,182.692
808.883,190.751
2540.934,184.89
4114.011,184.655
5118.41,209.185
217.119,194.54
445.055,186.813
728.022,186.813
739.011,185.44
1016.484,186.813
2512.559,191.327
2917.582,188.187
3391.968,194.166
6432.342,199.059
82.822,194.166
189.156,194.328
1135.216,204.327
1335.165,189.56
1421.154,189.835
1769.505,191.484
4811.028,190.934
5399.514,193.681
552.198,192.308
1317.766,194.139
4154.511,201.037
4698.626,192.582
1390.11,195.513
1452.266,196.085
2399.496,196.2
2458.825,210.701
4507.713,216.293
4716.003,196.085
6507.713,200.549
1309.341,209.89
1375.785,199.176
1792.582,198.391
1885.302,200.893
2017.072,197.606
2443.681,199.176
5093.014,201.334
5781.136,199.634
5797.161,198.26
454.67,200.549
1183.379,205.014
1412.677,201.923
3032.967,201.923
3055.195,211.101
3315.018,201.465
3524.725,200.549
4725.863,201.923
900.183,205.128
1146.635,204.327
1355.22,207.692
2478.938,204.212
2520.948,204.327
5712.912,204.67
6307.692,203.297
429.945,204.67
1259.615,206.044
1929.141,221.69
4124.451,206.319
4450.549,207.418
4668.04,207.723
4710.165,208.791
6477.525,214.724
658.425,210.165
1007.418,211.63
1157.67,220.486
3930.495,209.066
3989.011,208.791
5409.341,210.165
6636.206,216.165
1879.121,212.912
2157.967,211.538
6281.593,211.538
205.148,230.232
465.201,215.201
980.769,214.286
4799.451,214.286
6059.622,241.496
6269.231,214.286
6858.001,218.922
264.401,229.218
2113.226,218.407
3381.868,217.033
4268.28,220.097
1343.407,219.78
3236.264,221.154
4439.56,219.78
4957.418,218.407
5462.729,224.817
5726.648,221.154
5845.238,220.696
7086.538,218.407
1195.055,223.901
1418.613,224.245
3394.231,225.275
3592.033,222.527
4145.604,222.527
4710.44,225.275
5753.022,224.451
6613.553,222.985
689.56,226.648
1428.297,226.099
4871.738,229.739
5635.989,225.863
6752.473,232.143
247.057,237.637
435.897,229.853
457.418,228.022
1799.451,228.846
2150.885,241.178
3991.758,229.396
4983.516,228.022
6075.549,226.648
1134.615,232.143
1342.491,231.685
2976.898,237.138
2989.011,230.769
3456.502,231.227
4930.73,232.143
5040.62,232.143
5127.747,229.396
5142.857,232.143
5446.429,230.769
5474.817,230.311
5666.708,233.516
5848.626,235.027
184.066,232.143
2037.811,235.179
3401.099,234.89
4776.099,234.89
5410.714,235.675
503.336,237.637
1383.242,236.852
1436.355,239.011
2100.733,237.179
3032.967,234.89
3878.091,237.981
4706.681,245.678
5105.769,238.553
5438.187,238.422
5824.176,236.264
6433.102,282.533
6440.3,238.694
277.473,240.385
1123.626,239.011
1348.901,240.385
1747.527,240.934
1968.407,240.385
3970.81,240.041
4160.714,239.011
5125.894,288.63
6312.363,239.286
517.857,240.385
931.319,240.385
3988.886,244.88
4345.467,244.734
6630.495,243.917
6731.178,247.141
302.326,260.893
396.978,244.505
821.429,245.879
1533.883,245.421
1778.485,259.832
1948.832,246.223
3334.707,244.048
4593.407,244.505
5608.974,246.108
2511.905,249.084
3544.872,248.168
4560.44,248.626
5121.795,254.579
6924.451,250.981
236.264,251.374
1977.747,251.923
2228.938,250.916
2493.446,260.714
260.989,255.495
274.608,264.168
427.983,254.121
1800.824,251.374
2019.231,252.747
4054.945,252.747
4521.062,253.663
4750,252.747
5406.593,252.747
5432.692,254.906
6762.912,255.586
2773.901,255.769
4192.308,256.868
4374.313,257.898
5705.22,255.769
395.147,260.989
1665.934,261.813
1908.752,259.615
3358.059,260.531
3871.468,259.615
4355.154,302.437
4720.896,269.317
4920.042,271.179
5684.066,258.242
6936.563,261.613
228.218,264.521
3020.604,260.989
3564.56,260.989
4152.684,265.955
4169.349,267.465
4175.824,260.989
4386.951,267.17
238.553,263.278
384.158,266.484
1402.93,270.147
2326.923,263.736
3480.769,263.736
5381.868,265.11
5832.418,265.11
6316.392,264.194
1467.033,266.484
1896.978,267.857
2185.44,266.484
4558.258,273.19
4830.566,273.949
5909.432,270.604
258.242,270.604
2464.286,270.604
5104.396,270.604
5429.945,269.231
5482.143,267.857
6048.535,270.147
6408.065,276.589
6906.91,274.197
7373.626,270.604
2198.391,273.352
4537.546,274.725
5317.857,272.253
5406.319,286.381
5736.489,279.695
6192.582,273.901
6517.857,270.604
7120.055,272.253
7440.934,271.978
3417.308,276.648
4614.011,275.314
4851.648,276.099
4954.67,277.865
7411.993,284.625
7429.945,276.099
370.746,298.298
395.499,286.982
2940.385,279.396
3807.692,277.473
6054.1,286.612
6315.934,277.473
7307.692,278.846
338.37,280.678
428.571,281.593
1805.861,281.593
2206.868,283.516
4394.78,280.495
4817.613,282.509
5266.484,280.22
376.099,284.89
1920.33,284.341
2167.582,284.341
3286.745,287.431
4190.934,282.967
4372.711,284.799
5504.579,283.883
5706.044,286.303
6032.967,284.341
6728.076,301.581
7364.927,287.546
242.478,292.975
962.569,287.431
2117.543,287.088
2822.802,285.714
2898.352,287.088
3324.176,285.714
3946.429,285.714
4901.988,293.835
5156.25,286.401
5183.477,287.088
6192.308,287.088
258.83,292.19
491.484,290.385
525.706,291.405
2936.538,289.286
3313.561,290.834
5920.918,289.835
5971.154,290.62
6206.273,290.522
7310.44,289.835
128.925,293.367
981.643,293.082
1420.055,292.033
2945.055,291.209
3473.901,293.367
4013.736,292.582
4263.148,292.582
4391.14,292.926
4562.271,293.04
5018.107,293.082
5048.81,296.612
6008.242,289.835
6925,290.934
1399.594,303.571
1866.071,296.703
4308.643,298.711
5328.571,295.879
5807.998,302.198
6850.275,295.33
309.524,298.535
1380.342,298.993
2658.425,297.619
3264.652,298.535
4157.418,296.429
4862.441,301.805
4878.19,307.559
5149.725,295.33
5519.231,298.077
6311.813,296.703
7078.008,303.861
144.402,302.541
1911.431,311.813
2821.703,300.275
3359.89,299.451
3771.062,301.282
3994.505,301.74
5450.549,300.824
5478.022,300.824
6036.63,300.366
1416.758,309.432
2199.634,303.114
3885.989,302.198
4934.982,304.029
5060.44,303.571
5969.192,303.571
6079.67,302.198
6858.516,304.356
122.293,320.055
519.231,306.319
1680.861,305.403
