 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
6354,930.656,256.496,3104.395,256.378,3104.895,41843.744,98.718,3507
6355,59.657,1706.720,3089.090,1706.667,3089.118,2672.654,100.000,224
6356,35.794,2114.546,3088.630,2114.694,3088.778,1479.505,100.000,124
6357,47.726,2127.787,3088.054,2127.856,3087.860,2660.723,100.000,223
6358,47.726,3267.672,3088.054,3267.555,3087.877,2099.943,100.000,176
6359,47.726,3675.268,3088.054,3675.070,3087.764,3126.051,100.000,262
6360,47.726,4708.074,3088.054,4707.580,3088.244,2171.532,100.000,182
6361,35.794,4742.040,3088.630,4741.752,3088.844,1670.409,100.000,140
6362,11.931,4806.518,3086.327,4806.518,3086.327,393.739,100.000,33
6363,47.726,6894.582,3088.054,6894.434,3088.301,1670.409,100.000,140
6364,23.863,7326.357,3086.327,7326.080,3086.327,1193.149,100.000,100
6365,83.520,7360.158,3089.781,7360.146,3089.686,3889.667,100.000,326
6366,11.931,1936.079,3089.781,1936.079,3089.781,465.328,100.000,39
6367,71.589,2063.308,3093.811,2063.229,3093.836,3018.668,100.000,253
6368,59.657,2084.609,3093.235,2084.592,3093.132,2386.298,100.000,200
6369,47.726,2518.111,3091.508,2517.900,3091.454,2636.860,100.000,221
6370,393.739,2813.864,3105.063,2813.969,3104.629,19901.729,100.000,1668
6371,95.452,4442.532,3094.531,4442.021,3094.499,4402.721,100.000,369
6372,47.726,5956.767,3090.645,5956.721,3090.617,1825.518,100.000,153
6373,47.726,8217.540,3091.508,8217.853,3091.417,2040.285,100.000,171
6374,47.726,1298.779,3094.963,1298.808,3095.411,2159.600,100.000,181
6375,71.589,1628.079,3096.114,1628.188,3095.996,2911.284,100.000,244
6376,35.794,2618.859,3095.538,2619.362,3095.226,1718.135,100.000,144
6377,107.383,3371.874,3098.225,3371.676,3098.351,5953.815,100.000,499
6378,405.671,4053.096,3105.935,4053.776,3105.843,19126.182,100.000,1603
6379,59.657,6573.687,3095.999,6573.726,3096.117,2302.778,100.000,193
6380,23.863,7286.633,3094.963,7286.633,3094.531,859.067,100.000,72
6381,429.534,451.157,3112.425,450.955,3112.999,24638.532,100.000,2065
6382,59.657,760.269,3100.835,760.230,3101.041,2756.175,100.000,231
6383,524.986,785.359,3107.445,785.589,3107.640,25306.695,100.000,2121
6384,59.657,4259.373,3099.453,4259.603,3099.592,2612.997,100.000,219
6385,59.657,4459.717,3100.835,4459.894,3100.746,2875.490,100.000,241
6386,11.931,4792.701,3096.690,4792.701,3096.690,322.150,100.000,27
6387,47.726,4991.318,3098.417,4991.610,3098.539,2183.463,100.000,183
6388,35.794,5192.237,3098.992,5192.159,3099.295,1407.916,100.000,118
6389,11.931,7172.645,3096.690,7172.645,3096.690,346.013,100.000,29
6390,47.726,8303.895,3098.417,8303.813,3098.572,2255.052,100.000,189
6391,71.589,8367.222,3100.720,8366.828,3101.063,3316.955,100.000,278
6392,35.794,694.870,3102.447,695.111,3102.291,1765.861,100.000,148
6393,155.109,1918.808,3105.989,1918.649,3106.253,6753.225,100.000,566
6394,23.863,2013.798,3100.144,2013.755,3100.144,954.519,100.000,80
6395,119.315,2102.226,3106.016,2102.620,3106.046,5404.966,100.000,453
6396,131.246,2235.652,3105.796,2235.620,3106.063,5667.459,100.000,475
